Complaint_ID,Complaint_Date,Resolved_Date,Zone,Category,Department,Priority,Priority_Score,Status,Resolution_Delay_Days,Citizen_Satisfaction_Score,Month,Quarter,Week
CMP00018,2024-04-29,,North-East Zone,Water Supply,Water Supply Dept,High,3,In Progress,,1.7,April,Q2,18
CMP00019,2024-09-15,2024-09-21,South-West Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,6.0,3.7,September,Q3,37
CMP00020,2024-11-04,,Central Zone,Street Light Failure,Electricity Dept,Medium,2,In Progress,,1.9,November,Q4,45
CMP00021,2024-01-14,2024-01-20,North-East Zone,Road Damage,Public Works Dept,High,3,Resolved,6.0,4.1,January,Q1,2
CMP00022,2024-10-14,,Industrial Zone,Public Safety,Police Dept,Low,1,Pending,,1.1,October,Q4,42
CMP00023,2024-04-11,2024-04-27,East Zone,Street Light Failure,Electricity Dept,Low,1,Resolved,16.0,2.9,April,Q2,15
CMP00024,2024-11-28,2024-12-01,North Zone,Drainage Problem,Drainage Dept,High,3,Resolved,3.0,4.6,November,Q4,48
CMP00025,2024-12-25,2024-12-27,North Zone,Street Light Failure,Electricity Dept,High,3,Resolved,2.0,4.6,December,Q4,52
CMP00026,2024-10-06,,North Zone,Garbage Collection,Sanitation Dept,High,3,Pending,,1.4,October,Q4,40
CMP00027,2024-08-02,,West Zone,Public Safety,Police Dept,Medium,2,Pending,,1.5,August,Q3,31
CMP00028,2024-04-22,,Central Zone,Garbage Collection,Sanitation Dept,Medium,2,Pending,,1.8,April,Q2,17
CMP00029,2024-08-17,2024-08-25,North-East Zone,Road Damage,Public Works Dept,Medium,2,Resolved,8.0,3.4,August,Q3,33
CMP00030,2024-10-28,2024-11-05,East Zone,Road Damage,Public Works Dept,Low,1,Resolved,8.0,3.3,October,Q4,44
CMP00031,2024-05-22,,North-East Zone,Drainage Problem,Drainage Dept,High,3,Pending,,2.3,May,Q2,21
CMP00032,2024-01-04,2024-01-05,East Zone,Road Damage,Public Works Dept,High,3,Resolved,1.0,4.9,January,Q1,1
CMP00033,2024-03-22,2024-04-06,North Zone,Garbage Collection,Sanitation Dept,Low,1,Resolved,15.0,2.8,March,Q1,12
CMP00034,2024-12-23,2024-12-28,Central Zone,Water Supply,Water Supply Dept,Low,1,Resolved,5.0,3.7,December,Q4,52
CMP00035,2024-08-04,2024-08-12,North Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,8.0,2.8,August,Q3,31
CMP00036,2024-06-23,2024-06-29,Central Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,6.0,3.9,June,Q2,25
CMP00037,2024-05-22,2024-05-26,Industrial Zone,Traffic Congestion,Traffic Management Dept,High,3,Resolved,4.0,3.8,May,Q2,21
CMP00038,2024-03-20,2024-03-25,South Zone,Drainage Problem,Drainage Dept,High,3,Resolved,5.0,3.4,March,Q1,12
CMP00039,2024-04-20,,Central Zone,Garbage Collection,Sanitation Dept,Low,1,In Progress,,1.3,April,Q2,16
CMP00040,2024-06-21,2024-06-29,North Zone,Road Damage,Public Works Dept,Medium,2,Resolved,8.0,3.4,June,Q2,25
CMP00041,2024-02-22,,Industrial Zone,Road Damage,Public Works Dept,Medium,2,In Progress,,2.3,February,Q1,8
CMP00042,2024-02-17,2024-02-23,North Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,6.0,4.1,February,Q1,7
CMP00043,2024-07-13,2024-07-20,Central Zone,Drainage Problem,Drainage Dept,Low,1,Resolved,7.0,3.6,July,Q3,28
CMP00044,2024-02-19,2024-02-28,West Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,9.0,2.4,February,Q1,8
CMP00045,2024-07-02,2024-07-09,South-West Zone,Public Safety,Police Dept,Medium,2,Resolved,7.0,3.4,July,Q3,27
CMP00046,2024-06-25,2024-06-30,North-East Zone,Street Light Failure,Electricity Dept,High,3,Resolved,5.0,3.6,June,Q2,26
CMP00047,2024-11-05,,South-West Zone,Water Supply,Water Supply Dept,Medium,2,Pending,,1.3,November,Q4,45
CMP00048,2024-05-15,2024-05-21,South Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,6.0,4.4,May,Q2,20
CMP00049,2024-01-23,2024-02-03,North Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,11.0,2.8,January,Q1,4
CMP00050,2024-08-23,2024-08-25,South Zone,Public Safety,Police Dept,High,3,Resolved,2.0,4.3,August,Q3,34
CMP00051,2024-10-01,2024-10-09,East Zone,Garbage Collection,Sanitation Dept,Low,1,Resolved,8.0,2.3,October,Q4,40
CMP00052,2024-03-04,2024-03-17,North-East Zone,Water Supply,Water Supply Dept,Low,1,Resolved,13.0,1.8,March,Q1,10
CMP00053,2024-07-12,,North Zone,Drainage Problem,Drainage Dept,Medium,2,Pending,,2.3,July,Q3,28
CMP00054,2024-02-10,2024-02-16,West Zone,Public Safety,Police Dept,High,3,Resolved,6.0,4.3,February,Q1,6
CMP00055,2024-10-09,,Industrial Zone,Road Damage,Public Works Dept,High,3,Pending,,2.3,October,Q4,41
CMP00056,2024-05-30,,South-West Zone,Road Damage,Public Works Dept,Low,1,In Progress,,1.9,May,Q2,22
CMP00057,2024-11-17,2024-11-22,North-East Zone,Road Damage,Public Works Dept,High,3,Resolved,5.0,4.0,November,Q4,46
CMP00058,2024-11-12,2024-11-16,North-East Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,4.0,3.0,November,Q4,46
CMP00059,2024-07-04,2024-07-16,South-West Zone,Street Light Failure,Electricity Dept,Medium,2,Resolved,12.0,2.0,July,Q3,27
CMP00060,2024-10-22,2024-10-31,East Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,9.0,1.9,October,Q4,43
CMP00061,2024-04-08,2024-04-17,South-West Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,9.0,3.2,April,Q2,15
CMP00062,2024-12-26,2024-12-29,East Zone,Road Damage,Public Works Dept,High,3,Resolved,3.0,4.4,December,Q4,52
CMP00063,2024-02-05,2024-02-13,North Zone,Public Safety,Police Dept,Medium,2,Resolved,8.0,2.6,February,Q1,6
CMP00064,2024-01-24,,West Zone,Garbage Collection,Sanitation Dept,High,3,Pending,,1.5,January,Q1,4
CMP00065,2024-12-04,2024-12-06,Industrial Zone,Traffic Congestion,Traffic Management Dept,High,3,Resolved,2.0,4.7,December,Q4,49
CMP00066,2024-04-26,2024-05-02,East Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,6.0,3.6,April,Q2,17
CMP00067,2024-05-28,,South-West Zone,Drainage Problem,Drainage Dept,High,3,Pending,,2.2,May,Q2,22
CMP00068,2024-02-10,2024-02-13,South Zone,Street Light Failure,Electricity Dept,Medium,2,Resolved,3.0,4.4,February,Q1,6
CMP00069,2024-04-29,,North Zone,Road Damage,Public Works Dept,Medium,2,In Progress,,1.4,April,Q2,18
CMP00070,2024-02-21,2024-02-28,Industrial Zone,Street Light Failure,Electricity Dept,High,3,Resolved,7.0,3.1,February,Q1,8
CMP00071,2024-07-13,2024-07-23,South Zone,Public Safety,Police Dept,Medium,2,Resolved,10.0,2.5,July,Q3,28
CMP00072,2024-05-22,2024-06-11,West Zone,Road Damage,Public Works Dept,Low,1,Resolved,20.0,1.9,May,Q2,21
CMP00073,2024-08-20,,North-East Zone,Water Supply,Water Supply Dept,Medium,2,Pending,,2.0,August,Q3,34
CMP00074,2024-11-21,2024-11-27,North Zone,Traffic Congestion,Traffic Management Dept,Low,1,Resolved,6.0,3.1,November,Q4,47
CMP00075,2024-07-05,2024-07-08,Central Zone,Road Damage,Public Works Dept,High,3,Resolved,3.0,4.4,July,Q3,27
CMP00076,2024-03-24,2024-04-02,West Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,9.0,1.9,March,Q1,12
CMP00077,2024-07-08,,Central Zone,Water Supply,Water Supply Dept,Medium,2,In Progress,,2.3,July,Q3,28
CMP00078,2024-06-30,,North Zone,Garbage Collection,Sanitation Dept,Medium,2,Pending,,1.8,June,Q2,26
CMP00079,2024-04-17,2024-04-25,West Zone,Road Damage,Public Works Dept,Low,1,Resolved,8.0,3.1,April,Q2,16
CMP00080,2024-12-09,,East Zone,Street Light Failure,Electricity Dept,High,3,In Progress,,1.2,December,Q4,50
CMP00081,2024-05-16,2024-05-17,North Zone,Public Safety,Police Dept,High,3,Resolved,1.0,5.0,May,Q2,20
CMP00082,2024-12-25,2025-01-04,North Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,10.0,2.7,December,Q4,52
CMP00083,2024-12-15,2024-12-20,North-East Zone,Road Damage,Public Works Dept,Medium,2,Resolved,5.0,3.2,December,Q4,50
CMP00084,2024-11-27,2024-12-09,South-West Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,12.0,2.6,November,Q4,48
CMP00085,2024-02-06,2024-02-14,North Zone,Road Damage,Public Works Dept,Medium,2,Resolved,8.0,3.4,February,Q1,6
CMP00086,2024-11-07,2024-11-19,West Zone,Road Damage,Public Works Dept,Medium,2,Resolved,12.0,1.5,November,Q4,45
CMP00087,2024-11-21,2024-11-30,North-East Zone,Street Light Failure,Electricity Dept,Medium,2,Resolved,9.0,2.3,November,Q4,47
CMP00088,2024-03-28,2024-04-03,North Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,6.0,4.2,March,Q1,13
CMP00089,2024-09-30,2024-10-12,North Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,12.0,2.2,September,Q3,40
CMP00090,2024-05-05,,West Zone,Street Light Failure,Electricity Dept,Low,1,Pending,,1.5,May,Q2,18
CMP00091,2024-03-24,,South Zone,Street Light Failure,Electricity Dept,High,3,Pending,,2.1,March,Q1,12
CMP00092,2024-08-24,,East Zone,Drainage Problem,Drainage Dept,High,3,Pending,,1.1,August,Q3,34
CMP00093,2024-07-13,2024-07-16,West Zone,Public Safety,Police Dept,Medium,2,Resolved,3.0,4.0,July,Q3,28
CMP00094,2024-05-18,2024-06-01,North Zone,Traffic Congestion,Traffic Management Dept,Low,1,Resolved,14.0,1.9,May,Q2,20
CMP00095,2024-11-23,2024-11-24,North-East Zone,Street Light Failure,Electricity Dept,High,3,Resolved,1.0,4.5,November,Q4,47
CMP00096,2024-12-18,,South-West Zone,Traffic Congestion,Traffic Management Dept,Medium,2,In Progress,,2.5,December,Q4,51
CMP00097,2024-10-12,,West Zone,Drainage Problem,Drainage Dept,Medium,2,Pending,,2.3,October,Q4,41
CMP00098,2024-04-22,2024-05-04,West Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,12.0,2.3,April,Q2,17
CMP00099,2024-12-16,2024-12-21,North-East Zone,Traffic Congestion,Traffic Management Dept,Low,1,Resolved,5.0,4.1,December,Q4,51
CMP00100,2024-06-15,2024-06-19,South-West Zone,Road Damage,Public Works Dept,High,3,Resolved,4.0,3.4,June,Q2,24
CMP00101,2024-01-29,,North Zone,Street Light Failure,Electricity Dept,Medium,2,Pending,,1.2,January,Q1,5
CMP00102,2024-04-27,2024-05-04,South Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,7.0,3.6,April,Q2,17
CMP00103,2024-01-17,2024-01-26,West Zone,Water Supply,Water Supply Dept,Low,1,Resolved,9.0,2.3,January,Q1,3
CMP00104,2024-06-10,,North-East Zone,Garbage Collection,Sanitation Dept,Medium,2,In Progress,,1.8,June,Q2,24
CMP00105,2024-07-24,2024-08-02,South-West Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,9.0,2.0,July,Q3,30
CMP00106,2024-05-17,2024-05-20,North Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,3.0,4.0,May,Q2,20
CMP00107,2024-02-03,2024-02-08,Central Zone,Street Light Failure,Electricity Dept,High,3,Resolved,5.0,4.3,February,Q1,5
CMP00108,2024-04-18,,Industrial Zone,Garbage Collection,Sanitation Dept,Low,1,Pending,,2.1,April,Q2,16
CMP00109,2024-10-17,2024-10-28,East Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,11.0,2.6,October,Q4,42
CMP00110,2024-06-10,2024-06-13,East Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,3.0,4.5,June,Q2,24
CMP00111,2024-04-18,,North Zone,Road Damage,Public Works Dept,Low,1,In Progress,,2.2,April,Q2,16
CMP00112,2024-12-01,2024-12-09,Industrial Zone,Public Safety,Police Dept,Medium,2,Resolved,8.0,1.6,December,Q4,48
CMP00113,2024-09-12,2024-09-15,North-East Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,3.0,4.3,September,Q3,37
CMP00114,2024-07-21,2024-07-22,East Zone,Water Supply,Water Supply Dept,High,3,Resolved,1.0,4.0,July,Q3,29
CMP00115,2024-11-25,2024-12-05,South-West Zone,Street Light Failure,Electricity Dept,Medium,2,Resolved,10.0,2.8,November,Q4,48
CMP00116,2024-08-22,2024-08-30,East Zone,Road Damage,Public Works Dept,Low,1,Resolved,8.0,2.9,August,Q3,34
CMP00117,2024-03-14,2024-03-23,South-West Zone,Street Light Failure,Electricity Dept,Medium,2,Resolved,9.0,1.6,March,Q1,11
CMP00118,2024-05-15,,South-West Zone,Garbage Collection,Sanitation Dept,Low,1,Pending,,2.1,May,Q2,20
CMP00119,2024-03-12,2024-03-19,East Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,7.0,4.2,March,Q1,11
CMP00120,2024-05-06,2024-05-09,South Zone,Road Damage,Public Works Dept,High,3,Resolved,3.0,4.4,May,Q2,19
CMP00121,2024-10-14,,Central Zone,Road Damage,Public Works Dept,High,3,Pending,,1.6,October,Q4,42
CMP00122,2024-10-02,2024-10-05,Industrial Zone,Water Supply,Water Supply Dept,High,3,Resolved,3.0,4.8,October,Q4,40
CMP00123,2024-05-14,2024-05-22,North-East Zone,Public Safety,Police Dept,Medium,2,Resolved,8.0,3.3,May,Q2,20
CMP00124,2024-10-26,2024-10-30,East Zone,Garbage Collection,Sanitation Dept,High,3,Resolved,4.0,4.3,October,Q4,43
CMP00125,2024-08-07,2024-08-11,West Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,4.0,3.1,August,Q3,32
CMP00126,2024-10-25,2024-11-05,North Zone,Street Light Failure,Electricity Dept,Medium,2,Resolved,11.0,2.5,October,Q4,43
CMP00127,2024-07-23,2024-07-31,North-East Zone,Public Safety,Police Dept,Medium,2,Resolved,8.0,2.9,July,Q3,30
CMP00128,2024-07-04,2024-07-14,West Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,10.0,3.0,July,Q3,27
CMP00129,2024-04-22,2024-04-27,Industrial Zone,Drainage Problem,Drainage Dept,High,3,Resolved,5.0,3.0,April,Q2,17
CMP00130,2024-03-11,2024-03-12,West Zone,Traffic Congestion,Traffic Management Dept,High,3,Resolved,1.0,4.7,March,Q1,11
CMP00131,2024-09-17,2024-09-21,South Zone,Water Supply,Water Supply Dept,High,3,Resolved,4.0,3.8,September,Q3,38
CMP00132,2024-09-09,2024-09-16,North Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,7.0,4.4,September,Q3,37
CMP00133,2024-02-16,2024-02-22,North Zone,Traffic Congestion,Traffic Management Dept,High,3,Resolved,6.0,3.1,February,Q1,7
CMP00134,2024-01-25,2024-02-04,Industrial Zone,Public Safety,Police Dept,Medium,2,Resolved,10.0,2.7,January,Q1,4
CMP00135,2024-02-26,2024-03-07,South Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,10.0,2.3,February,Q1,9
CMP00136,2024-03-19,2024-03-23,West Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,4.0,4.2,March,Q1,12
CMP00137,2024-11-17,,South-West Zone,Garbage Collection,Sanitation Dept,Medium,2,In Progress,,2.3,November,Q4,46
CMP00138,2024-03-22,2024-04-07,North-East Zone,Water Supply,Water Supply Dept,Low,1,Resolved,16.0,3.1,March,Q1,12
CMP00139,2024-12-14,2024-12-26,West Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,12.0,2.4,December,Q4,50
CMP00140,2024-08-04,2024-08-12,Industrial Zone,Public Safety,Police Dept,Low,1,Resolved,8.0,3.0,August,Q3,31
CMP00141,2024-11-01,2024-11-04,South-West Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,3.0,4.3,November,Q4,44
CMP00142,2024-02-02,2024-02-08,Industrial Zone,Public Safety,Police Dept,Medium,2,Resolved,6.0,3.7,February,Q1,5
CMP00143,2024-07-16,2024-07-17,North Zone,Public Safety,Police Dept,High,3,Resolved,1.0,4.1,July,Q3,29
CMP00144,2024-07-14,2024-07-17,East Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,3.0,5.0,July,Q3,28
CMP00145,2024-11-01,2024-11-06,East Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,5.0,3.9,November,Q4,44
CMP00146,2024-08-27,2024-09-04,North-East Zone,Street Light Failure,Electricity Dept,Low,1,Resolved,8.0,2.3,August,Q3,35
CMP00147,2024-09-27,2024-09-30,West Zone,Road Damage,Public Works Dept,High,3,Resolved,3.0,4.4,September,Q3,39
CMP00148,2024-05-08,,South Zone,Road Damage,Public Works Dept,Medium,2,Pending,,1.3,May,Q2,19
CMP00149,2024-10-10,2024-10-17,North-East Zone,Water Supply,Water Supply Dept,High,3,Resolved,7.0,3.6,October,Q4,41
CMP00150,2024-01-06,,Central Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Pending,,1.4,January,Q1,1
CMP00151,2024-12-14,,Industrial Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Pending,,1.4,December,Q4,50
CMP00152,2024-02-28,,South-West Zone,Water Supply,Water Supply Dept,Low,1,Pending,,2.1,February,Q1,9
CMP00153,2024-12-15,2025-01-02,Central Zone,Road Damage,Public Works Dept,Low,1,Resolved,18.0,2.5,December,Q4,50
CMP00154,2024-10-01,2024-10-13,North-East Zone,Water Supply,Water Supply Dept,Low,1,Resolved,12.0,2.3,October,Q4,40
CMP00155,2024-05-16,2024-05-18,South Zone,Public Safety,Police Dept,High,3,Resolved,2.0,5.0,May,Q2,20
CMP00156,2024-11-24,,North Zone,Drainage Problem,Drainage Dept,Low,1,In Progress,,2.1,November,Q4,47
CMP00157,2024-06-23,,North-East Zone,Water Supply,Water Supply Dept,High,3,Pending,,2.4,June,Q2,25
CMP00158,2024-02-27,2024-03-05,West Zone,Street Light Failure,Electricity Dept,Low,1,Resolved,7.0,4.1,February,Q1,9
CMP00159,2024-05-30,2024-06-05,North Zone,Road Damage,Public Works Dept,Medium,2,Resolved,6.0,4.1,May,Q2,22
CMP00160,2024-08-10,,Industrial Zone,Traffic Congestion,Traffic Management Dept,High,3,Pending,,1.7,August,Q3,32
CMP00161,2024-03-21,2024-04-06,Central Zone,Street Light Failure,Electricity Dept,Low,1,Resolved,16.0,2.7,March,Q1,12
CMP00162,2024-08-20,2024-08-31,South Zone,Public Safety,Police Dept,Medium,2,Resolved,11.0,1.5,August,Q3,34
CMP00163,2024-01-02,,North-East Zone,Garbage Collection,Sanitation Dept,Medium,2,In Progress,,2.2,January,Q1,1
CMP00164,2024-05-14,,North Zone,Public Safety,Police Dept,Low,1,In Progress,,1.7,May,Q2,20
CMP00165,2024-09-13,,North-East Zone,Garbage Collection,Sanitation Dept,High,3,Pending,,1.7,September,Q3,37
CMP00166,2024-04-01,,Industrial Zone,Road Damage,Public Works Dept,Medium,2,Pending,,1.2,April,Q2,14
CMP00167,2024-09-16,2024-09-19,South-West Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,3.0,4.3,September,Q3,38
CMP00168,2024-02-24,,North Zone,Street Light Failure,Electricity Dept,Medium,2,Pending,,1.2,February,Q1,8
CMP00169,2024-11-16,,Central Zone,Road Damage,Public Works Dept,High,3,In Progress,,1.9,November,Q4,46
CMP00170,2024-06-01,,South-West Zone,Road Damage,Public Works Dept,Low,1,In Progress,,1.1,June,Q2,22
CMP00171,2024-11-23,,North Zone,Traffic Congestion,Traffic Management Dept,Medium,2,In Progress,,1.8,November,Q4,47
CMP00172,2024-09-16,2024-09-19,South-West Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,3.0,4.2,September,Q3,38
CMP00173,2024-11-07,,North Zone,Road Damage,Public Works Dept,Medium,2,Pending,,2.4,November,Q4,45
CMP00174,2024-04-11,2024-04-18,Central Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,7.0,3.9,April,Q2,15
CMP00175,2024-03-19,2024-03-26,Central Zone,Street Light Failure,Electricity Dept,High,3,Resolved,7.0,3.1,March,Q1,12
CMP00176,2024-07-10,2024-07-11,North Zone,Street Light Failure,Electricity Dept,High,3,Resolved,1.0,4.4,July,Q3,28
CMP00177,2024-03-23,2024-03-24,South Zone,Garbage Collection,Sanitation Dept,High,3,Resolved,1.0,4.8,March,Q1,12
CMP00178,2024-10-03,2024-10-06,East Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,3.0,4.5,October,Q4,40
CMP00179,2024-09-28,,South-West Zone,Street Light Failure,Electricity Dept,Low,1,Pending,,2.3,September,Q3,39
CMP00180,2024-01-01,2024-01-04,North-East Zone,Traffic Congestion,Traffic Management Dept,High,3,Resolved,3.0,4.8,January,Q1,1
CMP00181,2024-11-02,2024-11-09,West Zone,Drainage Problem,Drainage Dept,Low,1,Resolved,7.0,3.1,November,Q4,44
CMP00182,2024-06-14,,North Zone,Garbage Collection,Sanitation Dept,Medium,2,Pending,,1.7,June,Q2,24
CMP00183,2024-09-07,2024-09-14,North-East Zone,Street Light Failure,Electricity Dept,Medium,2,Resolved,7.0,3.6,September,Q3,36
CMP00184,2024-01-10,,Central Zone,Public Safety,Police Dept,Medium,2,In Progress,,2.1,January,Q1,2
CMP00185,2024-02-27,2024-03-01,East Zone,Drainage Problem,Drainage Dept,High,3,Resolved,3.0,4.8,February,Q1,9
CMP00186,2024-07-04,2024-07-16,Industrial Zone,Street Light Failure,Electricity Dept,Medium,2,Resolved,12.0,1.6,July,Q3,27
CMP00187,2024-06-06,,South Zone,Road Damage,Public Works Dept,Medium,2,In Progress,,2.0,June,Q2,23
CMP00188,2024-05-02,2024-05-11,North Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,9.0,2.7,May,Q2,18
CMP00189,2024-01-30,2024-02-12,South Zone,Public Safety,Police Dept,Low,1,Resolved,13.0,3.2,January,Q1,5
CMP00190,2024-05-03,,North Zone,Water Supply,Water Supply Dept,Medium,2,In Progress,,1.4,May,Q2,18
CMP00191,2024-10-17,2024-10-22,East Zone,Public Safety,Police Dept,Medium,2,Resolved,5.0,3.3,October,Q4,42
CMP00192,2024-02-10,,South-West Zone,Street Light Failure,Electricity Dept,Low,1,Pending,,1.8,February,Q1,6
CMP00193,2024-02-13,2024-02-15,South Zone,Water Supply,Water Supply Dept,High,3,Resolved,2.0,4.5,February,Q1,7
CMP00194,2024-09-05,,East Zone,Garbage Collection,Sanitation Dept,Low,1,Pending,,1.7,September,Q3,36
CMP00195,2024-02-05,2024-02-17,South Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,12.0,3.4,February,Q1,6
CMP00196,2024-09-29,2024-10-03,South Zone,Public Safety,Police Dept,High,3,Resolved,4.0,3.4,September,Q3,39
CMP00197,2024-03-05,2024-03-09,Central Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,4.0,3.7,March,Q1,10
CMP00198,2024-03-06,,South Zone,Traffic Congestion,Traffic Management Dept,High,3,Pending,,1.7,March,Q1,10
CMP00199,2024-12-03,,South-West Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Pending,,1.8,December,Q4,49
CMP00200,2024-08-31,,North-East Zone,Garbage Collection,Sanitation Dept,Medium,2,Pending,,2.1,August,Q3,35
CMP00201,2024-10-08,2024-10-13,West Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,5.0,4.1,October,Q4,41
CMP00202,2024-03-25,2024-04-02,South Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,8.0,3.3,March,Q1,13
CMP00203,2024-05-15,2024-05-24,Industrial Zone,Traffic Congestion,Traffic Management Dept,Low,1,Resolved,9.0,2.4,May,Q2,20
CMP00204,2024-09-27,2024-10-15,North Zone,Water Supply,Water Supply Dept,Low,1,Resolved,18.0,1.7,September,Q3,39
CMP00205,2024-11-06,2024-11-16,North Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,10.0,1.8,November,Q4,45
CMP00206,2024-08-04,,Industrial Zone,Public Safety,Police Dept,Medium,2,In Progress,,1.0,August,Q3,31
CMP00207,2024-04-18,,North-East Zone,Road Damage,Public Works Dept,High,3,In Progress,,1.8,April,Q2,16
CMP00208,2024-10-03,2024-10-11,Central Zone,Public Safety,Police Dept,Low,1,Resolved,8.0,1.7,October,Q4,40
CMP00209,2024-12-19,,East Zone,Garbage Collection,Sanitation Dept,Medium,2,Pending,,1.3,December,Q4,51
CMP00210,2024-04-12,,North-East Zone,Public Safety,Police Dept,High,3,In Progress,,2.3,April,Q2,15
CMP00211,2024-06-08,2024-06-20,South-West Zone,Garbage Collection,Sanitation Dept,Low,1,Resolved,12.0,1.7,June,Q2,23
CMP00212,2024-07-23,2024-08-04,West Zone,Public Safety,Police Dept,Medium,2,Resolved,12.0,3.3,July,Q3,30
CMP00213,2024-12-09,2024-12-19,South Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,10.0,2.5,December,Q4,50
